ABJ;BJ;D;2025-12-22;5500
ABG;RL;I;2025-12-23;2100
ABX;GB;D;2025-12-24;5000
AES;VX;I;2025-12-25;7800
ADR;JP;D;2025-12-26;3200
AEK;ML;I;2025-12-27;4500
AFL;SU;D;2025-12-28;7800
AAW;SM;I;2025-12-29;1500
AAZ;KJ;D;2025-12-30;2100
AFF;VJ;I;2025-12-31;3200
ADO;HD;D;2026-01-01;5000
EIN;EI;I;2026-01-02;4500
AAF;ZI;D;2026-01-03;7800
AAG;KI;I;2026-01-04;2100
AEA;UX;D;2026-01-05;3000
AMU;NX;I;2026-01-06;5000
SEY;HM;D;2026-01-07;4000
LCA;CY;I;2026-01-08;3200
CAI;AZ;D;2026-01-09;7800
AGN;GN;I;2026-01-10;2100
ABJ;BJ;D;2026-01-11;6000
ABX;GB;I;2026-01-12;4200
AES;VX;D;2026-01-13;7800
ADR;JP;I;2026-01-14;3600
AEK;ML;D;2026-01-15;4700
AFL;SU;I;2026-01-16;7200
AAW;SM;D;2026-01-17;1800
AAZ;KJ;I;2026-01-18;2100
AFF;VJ;D;2026-01-19;3400
ADO;HD;I;2026-01-20;5000
EIN;EI;D;2026-01-21;4500
AAF;ZI;I;2026-01-22;7800
AAG;KI;D;2026-01-23;2300
AEA;UX;I;2026-01-24;3100
AMU;NX;D;2026-01-25;5200
SEY;HM;I;2026-01-26;4000
LCA;CY;D;2026-01-27;3300
CAI;AZ;I;2026-01-28;7800
AGN;GN;D;2026-01-29;2200
ABX;GB;I;2026-01-30;5000
